satisfaction_level,number_project,average_montly_hours,Work_accident,promotion_last_5years,salary,left
11,6,200,0,0,medium,1
81,5,200,0,0,medium,1
9,6,200,0,0,low,1
11,6,200,0,0,low,1
81,5,200,0,0,low,1
10,6,200,1,0,low,1
74,5,200,0,0,low,1
9,6,200,0,0,low,1
82,4,200,1,0,low,1
10,6,200,0,0,low,1
27,3,200,0,0,low,1
83,5,200,0,0,low,1
10,6,200,1,0,low,1
38,2,144,0,0,low,1
40,2,148,0,0,low,1
11,6,200,0,0,low,1
11,6,200,0,1,low,1
82,5,200,0,0,low,1
36,2,137,0,0,low,1
40,2,128,0,0,low,1
87,5,200,0,0,low,1
41,2,146,0,0,low,1
11,6,200,1,0,low,1
10,6,200,0,0,medium,1
38,2,146,0,0,medium,1
39,2,156,0,0,medium,1
40,2,147,0,0,medium,1
45,2,136,0,0,medium,1
74,5,200,0,0,medium,1
45,2,151,0,0,medium,1
12,3,200,0,0,medium,1
10,7,200,0,0,medium,1
37,2,127,0,0,medium,1
89,5,200,0,0,medium,1
45,2,135,0,0,medium,1
37,2,149,0,0,high,0
11,5,200,0,0,low,1
41,2,145,0,0,medium,1
10,6,200,0,0,medium,1
10,7,200,0,0,medium,1
11,7,200,0,0,medium,1
40,2,139,0,0,low,1
41,2,130,0,0,low,1
10,6,200,0,0,low,1
73,4,200,0,0,low,1
43,2,135,0,0,low,1
37,2,153,0,0,low,1
11,6,200,0,0,low,1
40,2,130,0,0,low,1
41,2,153,1,0,low,1
82,5,200,0,0,low,1
61,2,200,0,0,low,1
11,7,200,0,0,low,1
37,2,131,0,0,low,1
41,2,135,0,0,low,1
37,2,157,0,0,low,1
88,5,200,0,0,low,1
10,6,200,0,0,low,1
44,2,148,0,0,low,1
38,2,140,0,0,low,1
11,7,200,0,0,low,1
9,6,200,0,0,low,1
45,2,145,0,0,medium,1
10,6,200,0,0,medium,1
45,2,151,0,0,medium,1
77,5,200,0,0,medium,1
44,2,140,0,0,medium,1
39,2,142,0,0,medium,1
10,6,200,0,0,medium,1
9,7,200,0,0,medium,1
37,2,141,0,0,medium,1
90,5,200,0,0,medium,1
41,2,143,0,0,medium,1
37,2,155,0,0,medium,1
10,6,200,0,0,high,0
81,4,200,0,0,low,1
11,6,200,0,0,medium,1
11,7,200,0,0,medium,1
40,2,149,0,0,medium,1
9,6,200,0,0,medium,1
48,3,200,0,0,low,1
91,4,200,0,0,low,1
43,2,135,0,0,low,1
33,6,200,0,0,low,1
41,2,136,0,0,low,1
41,2,154,0,0,low,1
37,2,149,0,0,low,1
31,6,135,0,0,low,1
9,6,200,0,0,low,1
10,6,200,0,0,low,1
76,4,200,0,0,low,1
41,2,145,0,0,low,1
72,5,200,0,0,low,1
40,2,141,1,0,low,1
91,4,200,0,0,low,1
10,6,200,0,0,low,1
40,2,131,0,0,low,1
82,5,200,0,0,low,1
10,6,200,0,0,low,1
37,2,142,0,0,low,1
36,2,135,0,0,low,1
39,2,141,0,0,medium,1
36,2,142,0,0,medium,1
86,5,200,0,0,medium,1
73,5,200,0,0,medium,1
56,4,200,0,0,medium,1
44,2,158,0,0,medium,1
31,4,200,0,0,medium,1
77,4,200,0,0,medium,1
44,2,156,0,0,medium,1
38,2,145,0,0,medium,1
45,2,144,0,0,medium,1
38,2,159,0,0,medium,1
36,2,156,0,0,high,0
75,5,200,0,0,low,1
10,6,200,0,0,medium,1
10,6,200,0,0,medium,1
45,2,157,0,0,medium,1
42,2,154,1,0,medium,1
78,4,200,0,0,low,1
45,2,148,0,0,low,1
84,4,200,0,0,low,1
11,6,200,0,0,low,1
42,2,133,0,0,low,1
45,2,128,0,0,low,1
46,2,139,0,0,low,1
9,6,200,0,0,low,1
87,4,200,0,0,low,1
10,6,200,0,0,low,1
91,5,200,0,0,low,1
76,4,200,0,0,low,1
74,5,200,0,0,low,1
92,5,200,0,0,low,1
76,5,200,0,0,low,1
47,4,200,0,0,low,1
73,5,200,0,0,low,1
9,6,200,0,0,low,1
91,4,200,0,0,low,1
82,4,200,0,0,low,1
28,6,200,0,0,low,1
84,4,200,0,0,medium,1
45,2,138,0,0,medium,1
45,2,142,0,0,medium,1
91,5,200,0,0,medium,1
42,2,155,0,0,medium,1
82,4,200,0,0,medium,1
11,6,200,0,0,medium,1
42,3,199,0,0,medium,1
82,4,200,0,0,medium,1
9,6,200,0,0,medium,1
10,6,200,0,0,medium,1
86,5,200,0,0,medium,1
40,2,143,0,0,high,0
45,2,130,0,0,low,1
42,2,136,0,0,medium,1
74,4,200,0,0,medium,1
55,3,180,0,0,medium,1
37,2,126,0,0,medium,1
41,2,127,1,0,low,1
89,5,195,0,0,low,1
41,2,160,0,0,low,1
44,2,150,0,0,low,1
87,4,200,0,0,low,1
10,6,200,0,0,low,1
41,2,135,0,0,low,1
11,6,200,0,0,low,1
43,2,160,0,0,low,1
77,4,200,0,0,low,1
41,2,136,0,0,low,1
41,2,139,0,0,low,1
36,2,151,0,0,low,1
77,5,200,0,0,low,1
81,5,200,0,0,low,1
39,2,127,0,0,low,1
9,6,200,0,0,low,1
44,2,143,0,0,low,1
10,5,200,0,0,low,1
36,2,159,0,0,low,1
81,5,200,0,0,low,1
81,4,200,0,0,medium,1
85,5,200,0,0,medium,1
10,6,200,0,0,medium,1
37,2,145,0,0,medium,1
9,7,200,1,0,medium,1
44,2,127,0,0,medium,1
86,5,200,0,0,medium,1
77,4,200,0,0,medium,1
41,2,136,0,0,medium,1
40,2,137,0,0,medium,1
43,2,135,0,0,medium,1
43,2,137,0,0,medium,1
80,3,200,0,0,high,1
80,4,200,0,0,low,1
82,5,200,0,0,medium,1
37,2,152,0,0,medium,1
37,2,134,0,0,medium,1
9,6,200,0,0,medium,1
90,5,200,0,0,low,1
41,2,159,0,0,low,1
10,6,200,0,0,low,1
44,2,149,0,0,low,1
89,5,200,0,0,low,1
42,2,149,0,0,low,1
87,5,200,0,0,low,1
45,2,134,0,0,low,1
11,5,200,0,0,low,1
9,6,200,0,0,low,1
76,5,200,0,0,low,1
11,7,200,0,0,low,1
37,2,151,0,0,low,1
10,6,200,0,0,low,1
77,4,200,0,0,low,1
42,2,143,1,0,low,1
38,2,145,0,0,low,1
32,5,172,0,0,low,1
38,2,135,0,0,low,1
19,4,192,0,0,low,1
10,7,200,0,0,low,1
76,4,200,0,0,medium,1
53,4,200,0,0,medium,1
39,2,151,0,0,medium,1
11,6,200,0,0,medium,1
10,6,200,0,0,medium,1
84,5,200,0,0,medium,1
82,4,200,0,0,medium,1
10,6,200,0,0,medium,1
59,7,200,0,0,medium,1
44,2,143,0,0,medium,1
89,2,181,0,0,medium,1
91,5,200,0,0,medium,1
66,5,161,0,0,high,1
11,7,200,0,0,low,1
43,2,155,0,0,medium,1
78,4,200,0,0,medium,1
11,6,200,0,0,medium,1
83,4,200,0,0,medium,1
39,2,158,0,0,low,1
38,2,158,0,0,low,1
37,2,155,0,0,low,1
44,2,146,0,0,low,1
53,2,164,0,0,low,1
9,6,200,0,0,low,1
11,6,200,0,0,low,1
83,5,200,0,0,low,1
88,5,200,1,0,low,1
10,6,200,0,0,low,1
9,7,200,0,0,low,1
44,2,151,0,0,low,1
39,2,129,0,0,low,1
87,4,200,0,0,low,1
74,4,200,0,0,low,1
10,7,200,0,0,low,1
74,4,200,0,0,low,1
75,5,200,0,0,low,1
41,2,150,0,0,low,1
41,2,144,1,0,low,1
9,7,200,0,0,low,1
9,6,200,0,0,medium,1
39,2,145,0,0,medium,1
40,2,137,0,0,medium,1
37,2,131,1,0,medium,1
10,6,200,0,0,medium,1
43,2,136,0,0,medium,1
75,5,200,1,0,medium,1
37,2,156,0,0,medium,1
11,6,200,0,0,medium,1
45,2,154,1,0,medium,1
87,5,200,1,0,medium,1
11,7,200,0,0,medium,1
45,2,129,0,0,high,1
81,4,200,0,0,low,1
77,5,200,0,0,medium,1
89,5,200,0,0,medium,1
43,2,135,0,0,medium,1
78,5,200,0,0,medium,1
37,2,149,0,0,low,1
37,2,141,0,0,low,1
85,4,200,0,0,low,1
41,2,138,0,0,low,1
11,6,200,0,0,low,1
75,5,200,0,0,low,1
82,5,200,0,0,low,1
79,5,200,0,0,low,1
43,2,150,0,0,low,1
10,7,200,0,0,low,1
46,2,141,1,0,low,1
43,2,157,0,0,low,1
43,2,136,0,0,low,1
11,7,200,0,0,low,1
9,6,200,0,0,low,1
37,2,131,0,0,low,1
40,2,160,0,0,low,1
10,7,200,0,0,low,1
41,2,157,0,0,low,1
79,3,200,0,0,low,1
11,7,200,0,0,low,1
10,6,200,0,0,medium,1
44,2,134,0,0,medium,1
25,4,200,0,0,medium,1
44,2,137,0,0,medium,1
73,4,200,0,0,medium,1
75,5,200,0,0,medium,1
36,2,148,0,0,medium,1
37,2,151,0,0,medium,1
39,2,129,0,0,medium,1
48,2,198,0,0,medium,1
57,4,200,0,0,medium,1
90,5,200,0,0,medium,1
39,2,159,0,0,high,0
44,2,145,0,0,low,1
81,5,200,0,0,medium,1
74,5,200,0,0,medium,1
44,2,145,0,0,medium,1
41,2,154,0,1,medium,1
40,2,139,0,0,low,1
46,2,152,0,0,low,1
80,2,200,0,0,low,1
87,5,200,0,0,low,1
39,2,155,0,0,low,1
38,2,148,0,0,low,1
66,2,200,0,0,low,1
10,6,200,0,0,low,1
37,2,132,0,0,low,1
10,6,200,0,0,low,1
9,5,200,0,0,low,1
86,5,200,0,0,low,1
11,6,200,0,0,low,1
37,2,157,0,0,low,1
11,7,200,0,0,low,1
77,5,200,0,0,low,1
84,5,200,0,0,low,1
10,7,200,0,0,low,1
83,5,200,0,0,low,1
11,6,200,0,0,low,1
86,5,200,0,0,low,1
38,2,161,0,0,medium,1
11,5,200,0,0,medium,1
45,2,134,0,0,medium,1
10,7,200,0,0,medium,1
9,7,200,0,0,medium,1
39,2,127,0,0,medium,1
37,2,138,1,0,medium,1
81,5,200,0,0,medium,1
9,7,200,0,0,medium,1
10,7,200,0,0,medium,1
39,2,144,0,0,medium,1
83,4,200,0,0,medium,1
45,2,148,0,0,high,1
43,2,141,0,0,low,1
80,3,200,0,0,medium,1
10,6,200,0,0,medium,1
10,2,200,0,0,medium,1
36,2,146,0,0,medium,1
38,2,140,0,0,low,1
78,5,200,0,0,low,1
44,2,145,0,0,low,1
41,2,156,1,0,low,1
72,5,200,0,0,low,1
46,2,144,0,0,low,1
10,7,200,0,0,low,1
34,4,141,0,0,low,1
11,6,200,0,0,low,1
38,2,154,0,0,low,1
82,5,200,0,0,low,1
39,2,127,0,0,low,1
44,2,140,0,0,low,1
43,2,147,0,0,low,1
84,4,200,0,0,low,1
43,2,153,0,0,low,1
37,2,128,0,0,low,1
74,4,200,0,0,low,1
73,5,200,0,0,low,1
37,2,148,0,0,low,1
58,4,200,0,0,low,1
40,2,141,0,0,medium,1
51,5,200,0,0,medium,1
46,2,151,0,0,medium,1
45,2,129,0,0,medium,1
46,2,156,0,0,medium,1
39,2,134,0,0,medium,1
9,6,200,0,0,medium,1
9,6,200,0,0,medium,1
37,2,132,0,0,medium,1
10,7,200,0,0,medium,1
77,4,200,0,0,medium,1
79,5,200,0,0,medium,1
43,2,130,0,0,high,1
38,2,146,0,0,low,1
77,5,200,0,0,medium,1
44,2,130,0,0,medium,1
39,2,136,0,0,medium,1
78,5,200,0,0,medium,1
10,6,200,0,0,low,1
10,5,200,0,0,low,1
75,5,200,0,0,low,1
46,6,200,0,0,low,1
91,4,200,0,0,low,1
10,6,200,0,0,low,1
72,3,153,0,0,low,1
11,6,200,0,0,low,1
11,6,200,0,0,low,1
46,2,154,0,0,low,1
37,2,149,0,0,low,1
46,2,157,0,0,low,1
43,2,127,0,0,low,1
11,6,200,0,0,low,1
73,5,200,0,0,low,1
43,2,158,0,0,low,1
86,5,200,0,0,low,1
10,6,200,0,0,low,1
40,2,128,0,0,low,1
11,7,200,0,0,low,1
86,3,158,0,0,low,1
42,3,200,0,0,medium,1
79,4,200,0,0,medium,1
10,7,200,0,0,medium,1
9,7,200,0,0,medium,1
9,6,200,0,0,medium,1
87,4,200,0,0,medium,1
36,2,145,0,0,medium,1
42,3,200,0,0,medium,1
84,5,200,0,0,medium,1
10,6,200,0,0,medium,1
78,3,200,0,0,medium,1
35,3,200,0,0,medium,1
10,7,200,0,0,high,0
11,6,200,0,0,low,1
43,2,135,0,0,medium,1
38,2,156,0,0,medium,1
46,2,143,0,0,medium,1
89,4,200,0,0,medium,1
45,2,147,0,0,low,1
44,2,159,0,0,low,1
74,5,200,0,0,low,1
45,2,152,0,0,low,1
79,4,200,0,0,low,1
79,5,200,0,0,low,1
11,6,200,0,0,low,1
42,2,140,0,0,low,1
64,6,200,0,0,low,1
40,2,159,0,0,low,1
84,5,200,0,0,low,1
73,5,200,0,0,low,1
40,2,144,0,0,low,1
36,2,127,0,0,low,1
43,2,131,0,0,low,1
11,6,200,0,0,low,1
91,5,200,0,0,low,1
80,5,200,0,0,low,1
42,2,139,0,0,low,1
31,4,184,0,0,low,1
44,2,130,0,0,low,1
38,2,135,0,0,medium,1
45,2,146,0,0,medium,1
43,2,149,0,0,medium,1
45,2,153,1,0,medium,1
43,2,160,0,0,medium,1
43,2,160,0,0,medium,1
9,6,200,0,0,medium,1
43,2,128,0,0,medium,1
79,4,200,0,0,medium,1
85,3,200,0,0,medium,1
38,2,129,0,0,medium,1
11,7,200,0,0,medium,1
83,5,200,0,0,high,1
81,4,200,0,0,low,1
42,2,143,0,0,medium,1
11,6,200,0,0,medium,1
11,7,200,0,0,medium,1
10,7,200,0,0,medium,1
50,5,153,0,0,low,1
44,2,154,0,0,low,1
11,6,200,0,0,low,1
39,2,134,0,0,low,1
11,6,200,0,0,low,1
36,2,132,0,0,low,1
43,2,130,0,0,low,1
40,2,127,0,0,low,1
86,4,200,0,0,low,1
38,2,145,0,0,low,1
46,2,138,0,1,low,1
37,2,129,0,0,low,1
43,2,150,0,0,low,1
66,5,200,0,0,low,1
37,2,160,0,0,low,1
77,5,200,0,0,low,1
38,2,151,0,0,low,1
39,2,127,0,0,low,1
41,2,151,0,0,low,1
10,7,200,0,0,low,1
9,6,200,0,0,low,1
41,2,131,0,0,medium,1
39,2,159,0,0,medium,1
83,4,200,0,0,medium,1
9,3,200,0,0,medium,1
75,5,200,0,0,medium,1
44,2,127,0,0,medium,1
10,6,200,0,0,medium,1
42,2,141,0,0,medium,1
10,6,200,0,0,medium,1
10,6,200,0,0,medium,1
31,4,149,0,0,medium,1
42,2,159,0,0,medium,1
38,2,152,0,0,high,0
39,2,158,0,0,low,1
10,6,200,0,0,medium,1
11,6,200,0,0,medium,1
10,7,200,0,0,medium,1
11,7,200,0,0,medium,1
44,3,200,0,0,low,1
91,4,200,0,0,low,1
72,4,200,0,0,low,1
36,2,132,0,0,low,1
44,2,131,0,0,low,1
85,5,200,0,0,low,1
78,5,200,0,0,low,1
39,2,156,0,0,low,1
78,3,200,0,0,low,1
10,6,200,1,0,low,1
23,4,200,1,0,low,1
11,6,200,0,0,low,1
90,5,200,0,0,low,1
91,4,200,0,0,low,1
11,7,200,0,0,low,1
43,2,150,0,0,low,1
45,2,151,0,0,low,1
11,5,200,0,0,low,1
11,6,200,1,0,low,1
43,2,161,0,0,low,1
91,4,200,0,0,low,1
43,2,153,0,0,medium,1
85,5,200,0,0,medium,1
10,6,200,0,0,medium,1
81,5,200,0,0,medium,1
36,4,200,0,0,medium,1
45,2,138,0,0,medium,1
86,5,200,0,0,medium,1
71,4,200,0,0,medium,1
11,7,200,0,0,medium,1
84,5,200,0,0,medium,1
9,7,200,0,0,medium,1
38,2,127,0,0,medium,1
15,6,139,0,0,high,0
10,7,200,1,0,low,1
80,4,200,1,0,medium,1
84,5,200,0,0,medium,1
11,6,200,0,0,medium,1
89,3,149,0,0,medium,1
45,2,138,0,0,low,1
11,7,200,0,0,low,1
74,5,200,0,0,low,1
41,2,128,0,0,low,1
44,2,154,0,0,low,1
37,2,138,0,0,low,1
11,6,200,0,0,low,1
10,6,200,0,0,low,1
70,6,136,0,0,low,1
59,2,160,0,0,low,1
38,2,138,0,0,low,1
72,4,200,0,0,low,1
73,5,200,0,0,low,1
39,2,161,0,0,low,1
89,5,200,0,0,low,1
89,4,200,0,0,low,1
11,6,200,1,0,low,1
43,2,133,0,0,low,1
9,6,200,0,0,low,1
81,5,200,0,0,low,1
37,2,126,0,0,low,1
36,2,138,0,0,medium,1
11,6,200,0,0,medium,1
10,6,200,0,0,medium,1
66,7,156,0,0,medium,1
39,2,152,0,0,medium,1
44,2,146,0,0,medium,1
10,6,200,0,0,medium,1
79,5,200,0,0,medium,1
10,6,200,1,0,medium,1
54,6,200,0,0,medium,1
37,2,151,0,0,medium,1
37,2,128,0,0,medium,1
82,5,200,0,0,high,1
45,2,160,0,0,low,1
79,5,200,0,0,medium,1
42,2,156,0,0,medium,1
10,6,200,0,0,medium,1
11,6,200,0,0,medium,1
74,4,200,0,0,low,1
10,6,200,0,0,low,1
79,4,200,0,0,low,1
43,2,144,0,0,low,1
41,2,154,0,0,low,1
39,2,146,0,0,low,1
10,6,200,0,0,low,1
82,5,200,0,0,low,1
41,2,128,0,0,low,1
42,2,128,0,0,low,1
74,4,200,0,0,low,1
38,2,152,1,0,low,1
39,2,126,0,0,low,1
87,4,200,0,0,low,1
10,5,200,0,0,low,1
78,5,200,0,0,low,1
14,7,200,0,0,low,1
11,6,200,0,0,low,1
91,5,200,0,0,low,1
49,6,200,0,0,low,1
38,2,143,0,0,low,1
82,5,200,0,0,medium,1
38,3,154,0,0,medium,1
89,5,200,0,0,medium,1
11,6,200,0,0,medium,1
37,2,128,0,0,medium,1
38,2,153,0,0,medium,1
78,5,200,0,0,medium,1
41,2,127,0,0,medium,1
41,2,137,0,0,medium,1
11,6,200,0,0,medium,1
11,6,200,0,0,medium,1
43,2,131,1,0,medium,1
75,5,200,0,0,high,1
74,4,200,0,0,low,1
85,5,200,0,0,medium,1
73,5,200,0,0,medium,1
10,6,200,0,0,medium,1
44,2,134,0,0,medium,1
30,3,200,1,0,low,1
11,7,200,0,0,low,1
84,5,200,0,0,low,1
78,5,200,0,0,low,1
43,2,145,0,0,low,1
36,2,152,0,0,low,1
43,2,128,0,0,low,1
45,2,142,0,0,low,1
76,5,200,0,0,low,1
10,7,200,0,0,low,1
9,6,200,0,0,low,1
92,5,200,0,0,low,1
92,5,200,0,0,low,1
79,4,200,0,0,low,1
43,2,140,0,0,low,1
80,4,200,0,0,low,1
44,2,127,1,0,low,1
89,5,200,0,0,low,1
48,3,200,0,0,low,1
11,6,200,1,0,low,1
38,2,145,0,0,low,1
11,6,200,0,0,medium,1
82,4,200,0,0,medium,1
37,2,160,0,0,medium,1
40,2,138,0,0,medium,1
43,2,137,0,0,medium,1
44,2,156,0,0,medium,1
42,2,147,0,0,medium,1
11,7,200,0,0,medium,1
78,4,200,0,0,medium,1
46,2,200,0,0,medium,1
77,5,200,0,0,medium,1
83,4,200,0,0,medium,1
32,5,200,0,0,high,0
90,5,154,0,0,low,1
42,2,151,0,0,medium,1
10,6,200,1,0,medium,1
10,6,200,0,0,medium,1
44,2,130,0,0,medium,1
10,7,200,0,0,low,1
11,6,200,0,0,low,1
10,6,200,0,0,low,1
39,2,135,0,0,low,1
92,4,200,0,0,low,1
43,2,136,0,0,low,1
11,6,200,0,0,low,1
81,5,200,0,0,low,1
11,7,200,0,0,low,1
87,5,200,0,0,low,1
37,2,131,0,0,low,1
39,2,135,0,0,low,1
61,4,196,0,0,low,1
11,6,200,0,0,low,1
9,7,200,0,0,low,1
36,2,157,0,0,low,1
9,6,200,0,0,low,1
41,4,200,0,0,low,1
40,2,131,0,0,low,1
10,6,200,1,0,low,1
46,2,143,1,0,low,1
39,2,133,0,0,medium,1
41,2,153,0,0,medium,1
10,7,200,0,0,medium,1
39,2,132,0,0,medium,1
73,5,200,1,0,medium,1
41,2,150,0,0,medium,1
37,2,140,0,0,medium,1
38,2,150,1,0,medium,1
80,5,180,0,0,medium,1
9,5,200,0,0,medium,1
85,4,200,0,0,medium,1
42,2,130,0,0,medium,1
